decimallatitude	decimallongitude
47.78	14.4
47.83	14.36
47.79	14.38
47.82	14.47
47.79	14.41
47.8	14.47
47.79	14.36
47.8	14.39
47.78	14.26
47.76	14.29
47.983334	14.5
48.016666	14.416667
48.142502	14.142777
47.916668	14.433333
47.866665	14.55
47.833332	14.55
47.816666	14.5
47.950001	14.45
47.683334	14.1
47.966667	14.383333
47.833332	14.65
47.950001	14.35
48	14.416667
48	14.4
47.383105	11.245178
46.83	13.38
47.59	12.7
46.88	12.88
46.93	12.88
47.98	13.04
47.52	12.73
46.98	13.13
46.88	13.29
47.18	12.82
47.24	12.12
47.42	12.87
46.93	13.54
47.73	12.96
47.72	13.1
47.88	13.13
47.76	13.24
46.83	12.79
47.77	13.38
46.83	13.54
47.73	13.07
47.11	13.47
47.73	13.38
46.83	12.71
46.83	12.88
47.13	13.46
46.93	13.21
47.58	13.36
47.29	12.76
47.8	13.22
47.08	13.46
47.13	12.79
47.73	13.04
47.52	12.71
46.88	12.71
47.93	13.04
46.83	13.63
47.77	13.05
46.88	12.96
47.22	12.17
47.62	13.13
46.73	12.54
47.33	13.21
46.88	13.71
47.2	12.51
48.08	12.96
47.22	12.82
46.77	12.88
47.77	13.08
47.41	12.87
46.83	12.38
47.02	13.21
46.83	13.46
